    0.1823806831E+03   -0.8443857801E+04   -0.2637581590E-01    0.4417094456E-02   -0.3411344480E-01
    0.1823806831E+03   -0.8442574591E+04   -0.2637575250E-01    0.4417130285E-02   -0.3411344016E-01
    0.1823806831E+03   -0.8441291381E+04   -0.2637568973E-01    0.4417165750E-02   -0.3411343556E-01
    0.1823806831E+03   -0.8440008171E+04   -0.2637562761E-01    0.4417200853E-02   -0.3411343101E-01
    0.1823806831E+03   -0.8438724961E+04   -0.2637556613E-01    0.4417235595E-02   -0.3411342651E-01
    0.1823806831E+03   -0.8437441751E+04   -0.2637550529E-01    0.4417269975E-02   -0.3411342205E-01
    0.1823806831E+03   -0.8436158541E+04   -0.2637544509E-01    0.4417303993E-02   -0.3411341764E-01
    0.1823806831E+03   -0.8434875331E+04   -0.2637538553E-01    0.4417337649E-02   -0.3411341328E-01
    0.1823806831E+03   -0.8433592120E+04   -0.2637532661E-01    0.4417370943E-02   -0.3411340896E-01
    0.1823806831E+03   -0.8432308910E+04   -0.2637526833E-01    0.4417403875E-02   -0.3411340469E-01
    0.1823806831E+03   -0.8431025700E+04   -0.2637521069E-01    0.4417436445E-02   -0.3411340047E-01
    0.1823806831E+03   -0.8429742490E+04   -0.2637515369E-01    0.4417468654E-02   -0.3411339629E-01
    0.1823806831E+03   -0.8428459280E+04   -0.2637509733E-01    0.4417500500E-02   -0.3411339216E-01
    0.1823806831E+03   -0.8427176070E+04   -0.2637504162E-01    0.4417531985E-02   -0.3411338808E-01
    0.1823806831E+03   -0.8425892860E+04   -0.2637498654E-01    0.4417563108E-02   -0.3411338405E-01
    0.1823806831E+03   -0.8424609650E+04   -0.2637493210E-01    0.4417593869E-02   -0.3411338006E-01
    0.1823806831E+03   -0.8423326439E+04   -0.2637487831E-01    0.4417624268E-02   -0.3411337612E-01
    0.1823806831E+03   -0.8422043229E+04   -0.2637482515E-01    0.4417654305E-02   -0.3411337222E-01
    0.1823806831E+03   -0.8420760019E+04   -0.2637477264E-01    0.4417683980E-02   -0.3411336837E-01
    0.1823806831E+03   -0.8419476809E+04   -0.2637472076E-01    0.4417713294E-02   -0.3411336457E-01
    0.1823806831E+03   -0.8418193599E+04   -0.2637466953E-01    0.4417742245E-02   -0.3411336082E-01
    0.1823806831E+03   -0.8416910389E+04   -0.2637461893E-01    0.4417770835E-02   -0.3411335711E-01
    0.1823806831E+03   -0.8415627179E+04   -0.2637456898E-01    0.4417799063E-02   -0.3411335345E-01
    0.1823806831E+03   -0.8414343968E+04   -0.2637451967E-01    0.4417826928E-02   -0.3411334984E-01
    0.1823806831E+03   -0.8413060758E+04   -0.2637447099E-01    0.4417854432E-02   -0.3411334627E-01
    0.1823806831E+03   -0.8411777548E+04   -0.2637442296E-01    0.4417881574E-02   -0.3411334275E-01
    0.1823806831E+03   -0.8410494338E+04   -0.2637437557E-01    0.4417908355E-02   -0.3411333928E-01
    0.1823806831E+03   -0.8409211128E+04   -0.2637432882E-01    0.4417934773E-02   -0.3411333585E-01
    0.1823806831E+03   -0.8407927918E+04   -0.2637428271E-01    0.4417960829E-02   -0.3411333247E-01
    0.1823806831E+03   -0.8406644708E+04   -0.2637423724E-01    0.4417986524E-02   -0.3411332914E-01
    0.1823806831E+03   -0.8405361498E+04   -0.2637419241E-01    0.4418011857E-02   -0.3411332585E-01
    0.1823806831E+03   -0.8404078287E+04   -0.2637414822E-01    0.4418036827E-02   -0.3411332262E-01
    0.1823806831E+03   -0.8402795077E+04   -0.2637410467E-01    0.4418061436E-02   -0.3411331942E-01
    0.1823806831E+03   -0.8401511867E+04   -0.2637406176E-01    0.4418085683E-02   -0.3411331628E-01
    0.1823806831E+03   -0.8400228657E+04   -0.2637401949E-01    0.4418109568E-02   -0.3411331318E-01
    0.1823806831E+03   -0.8398945447E+04   -0.2637397786E-01    0.4418133091E-02   -0.3411331013E-01
    0.1823806831E+03   -0.8397662237E+04   -0.2637393688E-01    0.4418156253E-02   -0.3411330713E-01
    0.1823806831E+03   -0.8396379027E+04   -0.2637389653E-01    0.4418179052E-02   -0.3411330417E-01
    0.1823806831E+03   -0.8395095817E+04   -0.2637385682E-01    0.4418201490E-02   -0.3411330126E-01
    0.1823806831E+03   -0.8393812606E+04   -0.2637381776E-01    0.4418223565E-02   -0.3411329839E-01
    0.1823806831E+03   -0.8392529396E+04   -0.2637377933E-01    0.4418245279E-02   -0.3411329558E-01
    0.1823806831E+03   -0.8391246186E+04   -0.2637374155E-01    0.4418266631E-02   -0.3411329281E-01
    0.1823806831E+03   -0.8389962976E+04   -0.2637370440E-01    0.4418287621E-02   -0.3411329008E-01
    0.1823806831E+03   -0.8388679766E+04   -0.2637366790E-01    0.4418308249E-02   -0.3411328741E-01
    0.1823806831E+03   -0.8387396556E+04   -0.2637363203E-01    0.4418328515E-02   -0.3411328478E-01
    0.1823806831E+03   -0.8386113346E+04   -0.2637359681E-01    0.4418348419E-02   -0.3411328220E-01
